name	rollNotes	spheres	level	spellType	vulgarity	range.num	range.type	targets.num	targets.type	targets.num2	duration.num	duration.type	defense	rollArcana	paradox	img
Warp Bridge	Create a small warp in spacetime that bridges two locations together, no more than {32} Hexes apart.  Any freind OR foe can use this bridge at a cost of {1} AP to move this distance. Warp Bridges must have line of sight with each other, or with a Space Beacon to be effective.   Bridges are either made permanent, or must be maintained by a Mage, but can be maintained indefinately so long as they  can see it. 	space	3	special	always	16	hexes	0	self	0	99	rounds	none	false	5	systems/mage/icons/arcana/Space3.png
Metamagic - Planar Affinity	Your spell has double it's normal Arcana, but this can only be utilized on a plane for which you have Planer Knowledge	space	3	special	never	0	self	0	self	0	0	immediate	none	false	0	systems/mage/icons/arcana/Space3.png
Passwall	As an instant you 'phase', allowing you to pass through up to 12 feet of stone or another bulk material. This spell is blocked by Iron and Iron that is on you will fail to phase. 	space	3	instant	witness	0	self	0	self	0	0	immediate	none	false	3	systems/mage/icons/arcana/Space3.png
Repeat	Causes a spell or attack which has already been performed to be rerolled, Utilizing your Arcana instead of the targets. 	time	3	instant	always	16	hexes	1	targets	0	0	immediate	none	false	3	systems/mage/icons/arcana/Time3.png
Hypertime	In an area around you, all benifit from {2} Haste	time	3	enchantment	witness	0	self	5	radius	0	3	rounds	none	false	5	systems/mage/icons/arcana/Time3.png
Acceleration	A single Target gains {6} Hexes of movement speed per move action.  In addition, they gain {3} Cunning.	time	3	enchantment	witness	0	touch	1	targets	0	5	rounds	none	false	5	systems/mage/icons/arcana/Time3.png
Metamagic - Interupt	A spell that is not normally 'Instant' may now be cast as an instant.	time	3	special	never	0	self	0	self	0	0	immediate	none	false	0	systems/mage/icons/arcana/Time3.png
Metamagic - Delay	A spell can be delayed up to {3} Turns before it fires. No more than {1} Spell can be cast in this fashion	time	3	special	never	0	self	0	self	0	0	immediate	none	false	0	systems/mage/icons/arcana/Time3.png
Counterspell	Oppose targets Arcana with a roll.  If you have more successess, that spell is countered.	prime	3	instant	never	16	hexes	1	targets	0	0	immediate	none	true	3	systems/mage/icons/arcana/Prime3.png
Drainspell	Any spell that targets you or within {3} hexes of you is weakened by {3} Arcana.	prime	3	enchantment	never	0	self	3	radius	0	3	rounds	none	false	3	systems/mage/icons/arcana/Prime3.png
Manaburn	Deals {24} Damage to a single target and inflicts {3} Oppression on that target.  Mages targeted by this spell suffer {5} Paradox.	prime	3	enchantment	witness	32	hexes	0	self	0	0	immediate	none	false	3	systems/mage/icons/arcana/Prime3.png
Metamagic - Empower	Any area of effect is increased by 50%, rounding down	prime	3	special	never	0	self	0	self	0	0	immediate	none	false	0	systems/mage/icons/arcana/Prime3.png
Black Blade	Summons forth a Black Blade from the void, that when it strikes, deals Your Arcana as a damage bonus. This blade can take the form of any Martial or Finesse Weapon you choose. 	prime	3	enchantment	witness	0	self	0	self	0	10	rounds	none	false	3	systems/mage/icons/arcana/Prime3.png
Gust	A huge area is effected by a breif knockback, falling back {8} Hexes if they fail. 	force	3	simple	witness	0	self	15	line	6	0	immediate	grit	false	3	systems/mage/icons/arcana/Force3.png
Telekinesis	Gain the control of {8} Small items such as swords, rocks, or other objects that can be held with one hand.  You can attack with these items at a cost of 1 AP, or throw them at a cost of 1 AP and losing control of the item. The items may be anywhere up to {16} Hexes from you and may move up to {8} Hexes per turn.  This weapons do base weapon damage, or {2d4} which ever is higher. 	force	3	enchantment	witness	0	self	8	targets	0	10	rounds	cunning	false	3	systems/mage/icons/arcana/Force3.png
Elemental Wall	Create a wall of Fire, Acid, Ice, or Lighting that is up to {8} Hexes Long in any shape you desire. Anyone passing through the wall suffers {36} Damage of the chosen element.   You must choose the element when this spell is learned, but it may be learned multiple times. This wall is considered an Enviromental Effect	force	3	enchantment	witness	16	hexes	0	targets	0	5	rounds	grit	false	5	systems/mage/icons/arcana/Force3.png
Fireball	Deals {36} Damage to all targets within a {3} Hexes of targeted Hex	force	3	simple	witness	16	hexes	3	radius	0	0	immediate	cunning	false	3	systems/mage/icons/arcana/Force3.png
Barrier	Create a barrier on the ground that covers up to {8} hexes of territory, or {16} Hexes if used to create half-sized cover-like walls. Can also be used for bridges, etc. You must be in physical contact with the location you want the wall to appear.    This barrier has {500} HP, and resistance to physical damage. 	force	3	enchantment	witness	0	touch	8	hexes	0	10	rounds	none	false	5	systems/mage/icons/arcana/Force3.png
Heat / Cool Metal	Deals {24} Thermal Damage on the first turn, and then {8} Damage each turn after for {5} Turns. Targets suffering from this effect get {2} Rot and cannot heal until the effect is removed.   This spell is NOT an enchantment, and thus the damage can only be removed by dropping or removing the offending item.	matter	3	enchantment	witness	16	hexes	0	self	0	5	rounds	grit	false	3	systems/mage/icons/arcana/Matter3.png
Oil Slick	Creates a permanent Oil Slick, which can then be later lit with either magic or simply arrows of flame. Anyone passing through suffers {1} Slow while in the area of effect.   Coincidental Notes : A sleeper witnessing the casting of this spell without a plausible explaination will trigger Paradox. Effect becomes non-magical once it is created, and it no longer triggers Paradox once it exists. 	matter	3	simple	coincidental	0		0	self	0	0	permanent	cunning	false	3	systems/mage/icons/arcana/Matter3.png
Matter Golem	Create a creature with {100} HP made of some material, and adopts some of the properties of that material.  Golems can do little else but fight. They have {8} Dice on attack and deal {2d10+4} Damage	matter	3	complex	always	0	self	0	self	0	1	hours	none	false	5	systems/mage/icons/arcana/Matter3.png
Magic Daggers	Create {9} daggers which can then be thrown by you by hand as a 1 AP action.  Each Dagger deals {2d6+4} damage. This is considered a Slashing attack. You use your Arcana to determine the dice roll.  Coincidental : This spell triggers Paradox only if a sleeper notices you created the daggers. The daggers themselves can be safely handled by sleepers once they are fabricated. 	matter	3	instant	coincidental	0	self	0	self	0	0	permanent	none	false	3	systems/mage/icons/arcana/Matter3.png
Transmutation	Transmute one substance into another, up to {1} Hex of material, or something in the range of 4 Cubic Meters. This spell can transmute weapons or armor to worthless scrap, but doing so requires a touch attack.   If used for Transmutation of Dirt into Gold for example, Paradox Costs are multipled by {10} by the Shround of Integrity, and it is considered {Always} Vulgar  	matter	3	simple	witness	0	touch	1	hexes	0	0	immediate	cunning	false	3	systems/mage/icons/arcana/Matter3.png
Cosmic Balance	Change the type of celenstial damage from any type, to any type, vs any target, from a non-cosmic source. IE the Sun itself can't be changed, but spells, weapons, etc can.	spirit	3	simple	never	16	hexes	1	targets	0	0	immediate	none	false	3	systems/mage/icons/arcana/Spirit3.png
Form of the Grey	You are immune to all damage except elemental. While you are in this form you gain {2} hex movement and can pass through small openings such as Key Holes. You appear as nothing more than a grey cloud.   Knockback Status effects cannot be resisted while you are in this form, and you suffer {8} Damage from each hex inflicted. 	spirit	3	simple	coincidental	0	self	0	self	0	1	hours	none	false	3	systems/mage/icons/arcana/Spirit3.png
Celestial Glyph	Pick a single type of celestial damage. All Allies within that area gain resistance to that type of damage.	spirit	3	enchantment	witness	0	self	0	self	0	0	immediate	none	false	5	systems/mage/icons/arcana/Spirit3.png
Banishment	Any summoned creature that is not permanment and all Outsiders suffer {60} Damage and gain {2} Weak and {2} Confusion	spirit	3	simple	never	16	hexes	1	targets	0	0	immediate	none	false	3	systems/mage/icons/arcana/Spirit3.png
Metamagic - Celestial	The Next spell you cast now deals {Celestial} damage (instead of it's normal type) and it also inflicts a status effect of your choice.  Banal - {Oppression} Lunar - {Weak} Solar - {Rot}	spirit	3	special	never	0	self	0	self	0	0	immediate	none	false	0	systems/mage/icons/arcana/Spirit3.png
Collapsing The Rift	Cancel a Teleportation effect, dealing {48} Lunar damage on the teleporting target. Note this applies to any Teleport, including supernatural ones such as Vampiric Misty Step.    Disables a gate for 10 Rounds, and Dispels a Warp Bridge. 	entropy	3	instant	never	32	hexes	1	targets	0	0	immediate	will	false	3	systems/mage/icons/arcana/Entropy3.png
Curse / Boon	Target of your choice that is not you gains {2} Lucky or {2} Unlucky.  As an instant, you can dispel this effect and target gains {6} dice to a single action if they are lucky, or loses {6} dice to a single if they are unlucky. 	entropy	3	simple	never	16	hexes	1	targets	0	10	rounds	will	false	5	systems/mage/icons/arcana/Entropy3.png
Karma	Allies within a wide area around you gain {1} Lucky. Enemies within a wide area around you gain {1} Unlucky	entropy	3	enchantment	never	0	self	8	radius	0	3	rounds	none	false	3	systems/mage/icons/arcana/Entropy3.png
Black Light Beam	Deals {24} Damage to a single target and inflicts {3} Stacks of Confusion	entropy	3	simple	witness	16	hexes	1	targets	0	0	immediate	grit	false	3	systems/mage/icons/arcana/Entropy3.png
Thermodynamic Ritual	A damaged machine or complex item that was destroyed ( including by spells like Shatter ) can be reassembled into it's previous Form.  Applies {10} Stacks of Regen to Constructs, which normally do not possess any form of Recovery. Constructs without a defined recovery level gain {2d8} HP upon using this stack. 	entropy	3	simple	witness	0	touch	1	targets	0	0	immediate	none	false	3	systems/mage/icons/arcana/Entropy3.png
Hesitation	A single target loses {8} Dice when attacking you.	mind	3	instant	never	16	hexes	0	self	0	0	immediate	will	false	3	systems/mage/icons/arcana/Mind3.png
Mind Blank	Blank a particular memory from the mind of a person. If this individual and memory in the cause of a Paradox roll, casting this within 10 Rounds of the effect results in the spell ending will prevent or nullify that paradox roll.	mind	3	simple	never	8	hexes	0	self	0	0	immediate	will	false	3	systems/mage/icons/arcana/Mind3.png
False Courage	Grants {1} Inspiration to all allies around you.	mind	3	enchantment	never	0	self	8	hexes	0	10	rounds	none	false	5	systems/mage/icons/arcana/Mind3.png
Hive Mind	You and up to {6} Allies may share thoughts.	mind	3	enchantment	witness	0	self	0	hexes	0	1	hours	none	false	3	systems/mage/icons/arcana/Mind3.png
Passmind	A single individual cannot see or interact with you in any way. It's as if you don't exist at all.   This spell is broken if you physically touch that individual, or if you strike that individual with a weapon or spell they cannot otherwise explain.	mind	3	enchantment	never	32	hexes	0	other	0	1	hours	will	false	3	systems/mage/icons/arcana/Mind3.png
Ogre's Strength	Gain +2 Strength. Reserved. This spell replaces Troll's Strength	life	4	enchantment	always	0	self	0	self	0	0	reserved	none	false	4	systems/mage/icons/arcana/Life4.png
Enchanted Grit	When crafting magical items, you may at a cost of 2 Enchant Levels create a +1 Trait Item. 5 Enchant levels make a +2 item. 9 Enchant Levels can make a +3.	life	4	special	always	0	self	0	self	0	0	permanent	none	false	8	systems/mage/icons/arcana/Life4.png
Rotgut	Up to {5} Targets of your choice suffer {3} stacks of Rot.	life	4	simple	coincidental	16	hexes	5	targets	0	0	immediate	grit	false	4	systems/mage/icons/arcana/Life4.png
Regeneration Field	Targets within the field have +1 Regen so long as they are inside the area.	life	4	enchantment	coincidental	0	self	3	hexes	0	5	rounds	none	false	4	systems/mage/icons/arcana/Life4.png
Aspect of the Titan	A target of your choice gains {5} Strength.	life	4	enchantment	witness	0	touch	1	targets	0	5	rounds	none	false	4	systems/mage/icons/arcana/Life4.png
Frozen Space	A single target suffers from both {Hold} and {Bind}. You suffer 2d8 Damage, gain 1 Paradox and 1 Rot per turn this spell is maintained.	space	4	enchantment	always	16	hexes	1	targets	0	5	rounds	grit	false	8	systems/mage/icons/arcana/Space4.png
Auspex		space	4	enchantment		0		0		0	0		none	false		systems/mage/icons/arcana/Space4.png
Espic Orb	Build an Orb that aids in Space based projects & Spells. This orb increases the effectiveness of Ritual chambers by {2}	space	4	special	always	0	self	0	self	0	0	permanent	none	false	8	systems/mage/icons/arcana/Space4.png
Metamagic - Remote Spell	The next spell can be cast from up to {32} Hexes away, as if you were physically at that location. 	space	4	special	never	0	self	0	self	0	0	immediate	none	false		systems/mage/icons/arcana/Space4.png
Planar Wall		space	4			0		0		0	0		none	false		systems/mage/icons/arcana/Space4.png
Mass Slow		time	4			0		0		0	0					systems/mage/icons/arcana/Time4.png
Song of the Siren		time	4			0		0		0	0					systems/mage/icons/arcana/Time4.png
Enchanted Will		time	4			0		0		0	0					systems/mage/icons/arcana/Time4.png
Decryptify		time	4			0		0		0	0					systems/mage/icons/arcana/Time4.png
Shared Vision		time	4			0		0		0	0					systems/mage/icons/arcana/Time4.png
Greater Grit Ward		prime	4			0		0		0	0					systems/mage/icons/arcana/Prime4.png
Trollkin Heart		prime	4			0		0		0	0					systems/mage/icons/arcana/Prime4.png
Permanency		prime	4			0		0		0	0					systems/mage/icons/arcana/Prime4.png
Metamagic - Fork		prime	4			0		0		0	0					systems/mage/icons/arcana/Prime4.png
Zone of Negativity		prime	4			0		0		0	0					systems/mage/icons/arcana/Prime4.png
Lighting Shield		force	4			0		0		0	0					systems/mage/icons/arcana/Force4.png
Greater Elemental Ward		force	4			0		0		0	0					systems/mage/icons/arcana/Force4.png
Bottled Lighting		force	4			0		0		0	0					systems/mage/icons/arcana/Force4.png
Frost Nova		force	4			0		0		0	0					systems/mage/icons/arcana/Force4.png
Stun Wave		force	4			0		0		0	0					systems/mage/icons/arcana/Force4.png
Ironskin		matter	4			0		0		0	0					systems/mage/icons/arcana/Matter4.png
Greater Physical Ward		matter	4			0		0		0	0					systems/mage/icons/arcana/Matter4.png
Construct Automaton		matter	4			0		0		0	0					systems/mage/icons/arcana/Matter4.png
Boulder		matter	4			0		0		0	0					systems/mage/icons/arcana/Matter4.png
Grounding		matter	4			0		0		0	0					systems/mage/icons/arcana/Matter4.png
Bubble		spirit	4			0		0		0	0					systems/mage/icons/arcana/Spirit4.png
Greater Celestial Ward		spirit	4			0		0		0	0					systems/mage/icons/arcana/Spirit4.png
Bind Outsider		spirit	4			0		0		0	0					systems/mage/icons/arcana/Spirit4.png
Celestial Blade		spirit	4			0		0		0	0					systems/mage/icons/arcana/Spirit4.png
Abeyance		spirit	4			0		0		0	0					systems/mage/icons/arcana/Spirit4.png
Mass Cunning Ward		entropy	4			0		0		0	0					systems/mage/icons/arcana/Entropy4.png
Sidhe's Grace		entropy	4			0		0		0	0					systems/mage/icons/arcana/Entropy4.png
Enchanted Cunning		entropy	4			0		0		0	0					systems/mage/icons/arcana/Entropy4.png
Balefire		entropy	4			0		0		0	0					systems/mage/icons/arcana/Entropy4.png
Chaos Theory		entropy	4			0		0		0	0					systems/mage/icons/arcana/Entropy4.png
Mass Mind Ward		mind	4			0		0		0	0					systems/mage/icons/arcana/Mind4.png
Illithid's Calculation		mind	4			0		0		0	0					systems/mage/icons/arcana/Mind4.png
Rings of Telepathy		mind	4			0		0		0	0					systems/mage/icons/arcana/Mind4.png
Agony of Defeat		mind	4			0		0		0	0					systems/mage/icons/arcana/Mind4.png
Mind Fog		mind	4			0		0		0	0					systems/mage/icons/arcana/Mind4.png
Metamagic - Life give / drain		life	5			0		0		0	0					systems/mage/icons/arcana/Life5.png
Horde		life	5			0		0		0	0					systems/mage/icons/arcana/Life5.png
Selection		life	5			0		0		0	0					systems/mage/icons/arcana/Life5.png
Animal Companion		life	5			0		0		0	0					systems/mage/icons/arcana/Life5.png
Body Sculpting		life	5			0		0		0	0					systems/mage/icons/arcana/Life5.png
Mass Blink		space	5			0		0		0	0					systems/mage/icons/arcana/Space5.png
Body Double		space	5			0		0		0	0					systems/mage/icons/arcana/Space5.png
Groundphase		space	5			0		0		0	0					systems/mage/icons/arcana/Space5.png
Stutter Step		space	5			0		0		0	0					systems/mage/icons/arcana/Space5.png
Farsee		space	5			0		0		0	0					systems/mage/icons/arcana/Space5.png
Mass Haste		time	5			0		0		0	0					systems/mage/icons/arcana/Time5.png
Pass the Stream		time	5			0		0		0	0					systems/mage/icons/arcana/Time5.png
Stasis Tomb		time	5			0		0		0	0					systems/mage/icons/arcana/Time5.png
Time Flare		time	5			0		0		0	0					systems/mage/icons/arcana/Time5.png
Realm of the Distant Chronometer		time	5			0		0		0	0					systems/mage/icons/arcana/Time5.png
Metamagic - Fork Other		prime	5			0		0		0	0					systems/mage/icons/arcana/Prime5.png
Greater Spell Shield		prime	5			0		0		0	0					systems/mage/icons/arcana/Prime5.png
Sever		prime	5			0		0		0	0					systems/mage/icons/arcana/Prime5.png
Paradox Bolt		prime	5			0		0		0	0					systems/mage/icons/arcana/Prime5.png
Metamagic - Dissapaite		prime	5			0		0		0	0					systems/mage/icons/arcana/Prime5.png
Metamagic - Intensify		force	5			0		0		0	0					systems/mage/icons/arcana/Force5.png
Elemental Immunity		force	5			0		0		0	0					systems/mage/icons/arcana/Force5.png
Magnetism		force	5			0		0		0	0					systems/mage/icons/arcana/Force5.png
Ice Storm		force	5			0		0		0	0					systems/mage/icons/arcana/Force5.png
Major Telekinesis		force	5			0		0		0	0					systems/mage/icons/arcana/Force5.png
Bind		matter	5			0		0		0	0					systems/mage/icons/arcana/Matter5.png
World of Forms		matter	5			0		0		0	0					systems/mage/icons/arcana/Matter5.png
Earthquake		matter	5			0		0		0	0					systems/mage/icons/arcana/Matter5.png
Mass Shatter		matter	5			0		0		0	0					systems/mage/icons/arcana/Matter5.png
Philosopher's Stone		matter	5			0		0		0	0					systems/mage/icons/arcana/Matter5.png
Aether Bolt		spirit	5			0		0		0	0					systems/mage/icons/arcana/Spirit5.png
Greyform World		spirit	5			0		0		0	0					systems/mage/icons/arcana/Spirit5.png
Planar Wall		spirit	5			0		0		0	0					systems/mage/icons/arcana/Spirit5.png
Banishment		spirit	5			0		0		0	0					systems/mage/icons/arcana/Spirit5.png
Metamagic - True Name		spirit	5			0		0		0	0					systems/mage/icons/arcana/Spirit5.png
Void Ray		entropy	5			0		0		0	0					systems/mage/icons/arcana/Entropy5.png
Butterfly Effect		entropy	5			0		0		0	0					systems/mage/icons/arcana/Entropy5.png
Bane		entropy	5			0		0		0	0					systems/mage/icons/arcana/Entropy5.png
Level 5 Entropy		entropy	5			0		0		0	0					systems/mage/icons/arcana/Entropy5.png
Level 5 Entropy		entropy	5			0		0		0	0					systems/mage/icons/arcana/Entropy5.png
Stolen Valor		mind	5			0		0		0	0					systems/mage/icons/arcana/Mind5.png
Level 5 Mind		mind	5			0		0		0	0					systems/mage/icons/arcana/Mind5.png
Mass Blank		mind	5			0		0		0	0					systems/mage/icons/arcana/Mind5.png
Delusions of Grandour		mind	5			0		0		0	0					systems/mage/icons/arcana/Mind5.png
Level 5 Mind		mind	5			0		0		0	0					systems/mage/icons/arcana/Mind5.png
